"","ef","npred","n","dmu","dsig","auc","sd"
"1",0.5,8,"0.5N","0.61","0.2","0.85","0.02"
"2",0.2,8,"0.5N","0.61","0.2","0.85","0.03"
"3",0.02,8,"0.5N","X","X","X","X"
"4",0.5,16,"0.5N","0.48","0.2","0.85","0.02"
"5",0.2,16,"0.5N","0.48","0.2","0.85","0.02"
"6",0.02,16,"0.5N","0.35","0.2","0.85","0.05"
"7",0.5,28,"0.5N","0.42","0.2","0.85","0.02"
"8",0.2,28,"0.5N","0.42","0.2","0.85","0.01"
"9",0.02,28,"0.5N","0.29","0.2","0.85","0.03"
"10",0.5,8,"N","0.62","0.2","0.85","0.02"
"11",0.2,8,"N","0.62","0.2","0.85","0.02"
"12",0.02,8,"N","0.56","0.2","0.85","0.05"
"13",0.5,16,"N","0.5","0.2","0.85","0.01"
"14",0.2,16,"N","0.5","0.2","0.85","0.01"
"15",0.02,16,"N","0.44","0.2","0.85","0.03"
"16",0.5,28,"N","0.43","0.2","0.85","0.01"
"17",0.2,28,"N","0.43","0.2","0.85","0.01"
"18",0.02,28,"N","0.38","0.2","0.85","0.03"
"19",0.5,8,"2N","0.62","0.2","0.85","0.01"
"20",0.2,8,"2N","0.62","0.2","0.85","0.01"
"21",0.02,8,"2N","0.58","0.2","0.85","0.04"
"22",0.5,16,"2N","0.5","0.2","0.85","0.01"
"23",0.2,16,"2N","0.5","0.2","0.85","0.01"
"24",0.02,16,"2N","0.47","0.2","0.85","0.03"
"25",0.5,28,"2N","0.44","0.2","0.85","0.01"
"26",0.2,28,"2N","0.44","0.2","0.85","0.01"
"27",0.02,28,"2N","0.4","0.2","0.85","0.02"
